hotel_class,region_id,url,phone,details,address,type,id,name,region,street-address,postal-code,locality,full_address,latitude,longitude
2.5,37209,http://www.tripadvisor.com/Hotel_Review-g37209-d224810-Reviews-Holiday_Inn_Express_and_Suites_Indianapolis_East-Indianapolis_Indiana.html,,,"{'region': 'IN', 'street-address': '7035 Western Select Drive', 'postal-code': '46219', 'locality': 'Indianapolis'}",hotel,224810,Holiday Inn Express and Suites Indianapolis East,IN,7035 Western Select Drive,46219,Indianapolis,"7035 Western Select Drive, Indianapolis, IN, 46219, USA",39.7997637,-86.0440268
3.0,37209,http://www.tripadvisor.com/Hotel_Review-g37209-d1641470-Reviews-Hilton_Garden_Inn_Indianapolis_Northwest-Indianapolis_Indiana.html,,,"{'region': 'IN', 'street-address': '6930 Intech Blvd', 'postal-code': '46278', 'locality': 'Indianapolis'}",hotel,1641470,Hilton Garden Inn Indianapolis Northwest,IN,6930 Intech Blvd,46278,Indianapolis,"6930 Intech Blvd, Indianapolis, IN, 46278, USA",39.879932,-86.2754378
,37209,http://www.tripadvisor.com/Hotel_Review-g37209-d224814-Reviews-Motel_6_Pyramid_s_Indianapolis-Indianapolis_Indiana.html,,,"{'region': 'IN', 'street-address': '9140 North Michigan Road', 'postal-code': '46268', 'locality': 'Indianapolis'}",hotel,224814,Motel 6 Pyramid's Indianapolis,IN,9140 North Michigan Road,46268,Indianapolis,"9140 North Michigan Road, Indianapolis, IN, 46268, USA",39.9269038,-86.2300872
2.5,37209,http://www.tripadvisor.com/Hotel_Review-g37209-d223827-Reviews-Fairfield_Inn_Suites_Indianapolis_East-Indianapolis_Indiana.html,,,"{'region': 'IN', 'street-address': '7110 E 21st Street', 'postal-code': '46219', 'locality': 'Indianapolis'}",hotel,223827,Fairfield Inn & Suites Indianapolis East,IN,7110 E 21st Street,46219,Indianapolis,"7110 E 21st Street, Indianapolis, IN, 46219, USA",39.7970944,-86.0431423
3.0,37209,http://www.tripadvisor.com/Hotel_Review-g37209-d91519-Reviews-Courtyard_by_Marriott_Indianapolis_Carmel-Indianapolis_Indiana.html,,,"{'region': 'IN', 'street-address': '10290 N Meridian Street', 'postal-code': '46290', 'locality': 'Indianapolis'}",hotel,91519,Courtyard by Marriott Indianapolis Carmel,IN,10290 N Meridian Street,46290,Indianapolis,"10290 N Meridian Street, Indianapolis, IN, 46290, USA",39.9155539,-86.1579997
2.0,37209,http://www.tripadvisor.com/Hotel_Review-g37209-d1239568-Reviews-Candlewood_Suites_Indianapolis_Northwest-Indianapolis_Indiana.html,,,"{'region': 'IN', 'street-address': '7455 Woodland Drive', 'postal-code': '46278', 'locality': 'Indianapolis'}",hotel,1239568,Candlewood Suites Indianapolis Northwest,IN,7455 Woodland Drive,46278,Indianapolis,"7455 Woodland Drive, Indianapolis, IN, 46278, USA",39.8882563,-86.2651405
2.0,37209,http://www.tripadvisor.com/Hotel_Review-g37209-d91479-Reviews-Extended_Stay_America_West_86th_Street-Indianapolis_Indiana.html,,,"{'region': 'IN', 'street-address': '8520 Northwest Blvd', 'postal-code': '46278', 'locality': 'Indianapolis'}",hotel,91479,Extended Stay America-West 86th Street,IN,8520 Northwest Blvd,46278,Indianapolis,"8520 Northwest Blvd, Indianapolis, IN, 46278, USA",39.9093802,-86.2676039
3.5,37209,http://www.tripadvisor.com/Hotel_Review-g37209-d88162-Reviews-Crowne_Plaza_Indianapolis_Airport-Indianapolis_Indiana.html,,,"{'region': 'IN', 'street-address': '2501 South High School Road', 'postal-code': '46241', 'locality': 'Indianapolis'}",hotel,88162,Crowne Plaza Indianapolis Airport,IN,2501 South High School Road,46241,Indianapolis,"2501 South High School Road, Indianapolis, IN, 46241, USA",39.729683,-86.26972
3.0,37209,http://www.tripadvisor.com/Hotel_Review-g37209-d91500-Reviews-The_Marten_House_Hotel-Indianapolis_Indiana.html,,,"{'region': 'IN', 'street-address': '1801 W. 86th St', 'postal-code': '46260', 'locality': 'Indianapolis'}",hotel,91500,The Marten House Hotel,IN,1801 W. 86th St,46260,Indianapolis,"1801 W. 86th St, Indianapolis, IN, 46260, USA",39.9106868,-86.1922776
3.0,37209,http://www.tripadvisor.com/Hotel_Review-g37209-d674056-Reviews-Staybridge_Suites_Indianapolis_City_Centre-Indianapolis_Indiana.html,,,"{'region': 'IN', 'street-address': '535 S West Street', 'postal-code': '46225', 'locality': 'Indianapolis'}",hotel,674056,Staybridge Suites Indianapolis - City Centre,IN,535 S West Street,46225,Indianapolis,"535 S West Street, Indianapolis, IN, 46225, USA",39.7594997,-86.1671022
2.0,37209,http://www.tripadvisor.com/Hotel_Review-g37209-d224793-Reviews-La_Quinta_Inn_Indianapolis_Airport_Executive_Drive-Indianapolis_Indiana.html,,,"{'region': 'IN', 'street-address': '2650 Executive Drive', 'postal-code': '46241', 'locality': 'Indianapolis'}",hotel,224793,La Quinta Inn Indianapolis Airport Executive Drive,IN,2650 Executive Drive,46241,Indianapolis,"2650 Executive Drive, Indianapolis, IN, 46241, USA",39.7270299,-86.2582032
2.5,37209,http://www.tripadvisor.com/Hotel_Review-g37209-d91488-Reviews-Holiday_Inn_Express_Northwest_Park_100-Indianapolis_Indiana.html,,,"{'region': 'IN', 'street-address': '7220 Woodland Drive', 'postal-code': '46278', 'locality': 'Indianapolis'}",hotel,91488,Holiday Inn Express Northwest-Park 100,IN,7220 Woodland Drive,46278,Indianapolis,"7220 Woodland Drive, Indianapolis, IN, 46278, USA",39.8834738,-86.2670022
2.5,37209,http://www.tripadvisor.com/Hotel_Review-g37209-d278565-Reviews-Holiday_Inn_Express_Indianapolis_Downtown_City_Centre-Indianapolis_Indiana.html,,,"{'region': 'IN', 'street-address': '410 South Missouri Street', 'postal-code': '46225', 'locality': 'Indianapolis'}",hotel,278565,Holiday Inn Express Indianapolis Downtown City Centre,IN,410 South Missouri Street,46225,Indianapolis,"410 South Missouri Street, Indianapolis, IN, 46225, USA",39.7612894,-86.1658518
3.0,37209,http://www.tripadvisor.com/Hotel_Review-g37209-d91462-Reviews-Courtyard_Indianapolis_South-Indianapolis_Indiana.html,,,"{'region': 'IN', 'street-address': '4650 Southport Crossing Drive', 'postal-code': '46237', 'locality': 'Indianapolis'}",hotel,91462,Courtyard Indianapolis South,IN,4650 Southport Crossing Drive,46237,Indianapolis,"4650 Southport Crossing Drive, Indianapolis, IN, 46237, USA",39.6639658,-86.0900319
3.0,37209,http://www.tripadvisor.com/Hotel_Review-g37209-d1235801-Reviews-Hilton_Garden_Inn_Indianapolis_Airport-Indianapolis_Indiana.html,,,"{'region': 'IN', 'street-address': '8910 Hatfield Drive', 'postal-code': '46231', 'locality': 'Indianapolis'}",hotel,1235801,Hilton Garden Inn Indianapolis Airport,IN,8910 Hatfield Drive,46231,Indianapolis,"8910 Hatfield Drive, Indianapolis, IN, 46231, USA",39.6791484,-86.3195165
